needle,haystack,
"DE HAVILLAND DH60 Moth, Moth Major",DEHAVILLAND DEHAVILLAND TWIN OTTER DHC-6,
HAWKER BEECHCRAFT CORP B300 Super King Air 350,BEECHCRAFT BEECH BONANZA D-35A/C/D/E/G/H/J/K/S/V,
EMBRAER AMX (A1),EMBRAER EMBRAER-135,
BEECHSFERMA 60 Marquis,Beech Baron (55 Series),
"AIRBUS A300B2/41/2/100/200, A300C4200",Airbus Industrie A300-B2,
ANTONOV An140,Antonov 12,
ANTONOV An3,Antonov 12,
ANTONOV An38,Antonov 12,
ANTONOV An70,Antonov 12,
ANTONOV An8,Antonov 12,
BEECHSFERMA 60 Marquis,Beech Baron (55 Series),
BOEING B17 Flying Fortress,Boeing 717-200,
BOEING B29 Superfortress,Boeing Vertol Bv-44,
BOEING B52 Stratofortress,Boeing 377 Stratocruiser,
BOEING 747SP,Boeing 747c,
BOEING 747SCA Shuttle Carrier,Boeing 747c,
"CESSNA A37 Dragonfly (318D/E), OA37",Cessna Citation Ii/ Bravo,
DORNIER DoBÌ_133 Jungmeister,Dornier 228,
HAWKER BEECHCRAFT CORP 17 Staggerwing (UC43 Traveler),Beech B-95 (Travelair),
HAWKER BEECHCRAFT CORP 33 Bonanza,Beech C-50 (Twin Bonanza),
HAWKER BEECHCRAFT CORP 36 Bonanza (piston),Beech C-50 (Twin Bonanza),
HAWKER BEECHCRAFT CORP 56 Turbo Baron,Beech Model 18 Turbo-Prop Conversions,
HAWKER BEECHCRAFT CORP 60 Duke,Beech B-23 Musketeer,
HAWKER BEECHCRAFT CORP 76 Duchess,Beech Baron (55 Series),
HAWKER BEECHCRAFT CORP 77 Skipper,Beech 200 Super Kingair,
"BOEING C135B/C/E/K Stratolifter, EC135, NKC135, OC135, TC135, WC135",Boeing 377 Stratocruiser,
CESSNA 120,Cessna T-50 (Bobcat),
CESSNA 140,Cessna T-50 (Bobcat),
CESSNA 170,Cessna T-50 (Bobcat),
"CESSNA 175, Skylark",Cessna T-50 (Bobcat),
"CESSNA 177, Cardinal",Cessna T-50 (Bobcat),
"CESSNA 180, Skywagon 180 (U17C)",Cessna Citation Ii/ Bravo,
"CESSNA 182, Skylane",Cessna T-50 (Bobcat),
CESSNA 190,Cessna T-50 (Bobcat),
CESSNA 195 (LC126),Cessna T-50 (Bobcat),
CESSNA 205,Cessna T-50 (Bobcat),
"CESSNA 206, P206, T206, TP206, U206, TU206, (Turbo)Super Skywagon, (Turbo)Super Skylane, (Turbo)Skywagon 206, (Turbo)Stationair, (Turbo)Stationair 6",Cessna Citation Ii/ Bravo,
"CESSNA 207 (Turbo)Skywagon 207, (Turbo)Stationair 7/8",Cessna Citation Ii/ Bravo,
"CESSNA 208 Caravan 1, (Super)Cargomaster, Grand Caravan (C98, U27)",Cessna Citation Ii/ Bravo,
"CESSNA 210, T210, (Turbo)Centurion",Cessna Citation Ii/ Bravo,
CESSNA 525A CitationJet 525A,Cessna Citation Ii/ Bravo,don't know why this isn't fixed 5/24/2010
CESSNA 525B CitationJet 525B,Cessna Citation Ii/ Bravo,don't know why this isn't fixed 5/24/2010
CESSNA T303 Crusader,Cessna T-50 (Bobcat),
CESSNA 335,Cessna T-50 (Bobcat),
CESSNA 336 Skymaster,Cessna T-50 (Bobcat),
"CESSNA 401, 402, Utililiner, Businessliner",Cessna Citation Ii/ Bravo,
CESSNA 404 Titan,Cessna Citation Ii/ Bravo,
CESSNA 411,Cessna T-50 (Bobcat),
"CESSNA 421, Golden Eagle, Executive Commuter",Cessna Citation Ii/ Bravo,
"CESSNA 425 Corsair, Conquest 1",Cessna Citation Ii/ Bravo,
"CESSNA 441 Conquest, Conquest 2",Cessna Citation Ii/ Bravo,
"CESSNA 500 Citation, Citation I",Cessna Citation Ii/ Bravo,don't know why this isn't fixed 5/24/2010
CESSNA 501 Citation ISP,Cessna Citation Ii/ Bravo,don't know why this isn't fixed 5/24/2010
CESSNA 525 CitationJet CitationJet 525,Cessna Citation Ii/ Bravo,don't know why this isn't fixed 5/24/2010
CESSNA 526 CitationJet,Cessna Citation Ii/ Bravo,don't know why this isn't fixed 5/24/2010
"CESSNA 550, S550, 552 Citation II/S2/Bravo (T47, U20)",Cessna Citationjet/Cj1/Cj2/Cj3,don't know why this isn't fixed 5/24/2010
CESSNA 551 Citation IISP,Cessna Citationjet/Cj1/Cj2/Cj3,don't know why this isn't fixed 5/24/2010
"CESSNA 560 Citation V/5 Ultra/5 Ultra Encore (UC35.OT47, TR20)",Cessna Citation Ii/ Bravo,don't know why this isn't fixed 5/24/2010
CESSNA 560XL Citation Excel,Cessna Citation Ii/ Bravo,
CESSNA AW,Cessna 180,
CESSNA P210 (turbine),Cessna T-50 (Bobcat),don't know why this isn't fixed 5/24/2010
CESSNA 680 Citation Sovereign,Cessna Citation Ii/ Bravo,
CESSNA 172RG Cutlass RG,Cessna T-50 (Bobcat),don't know why this isn't fixed 5/24/2010
CESSNA 750 Citation I0,Cessna Citation Ii/ Bravo,
CESSNA DC6,Cessna 180,
"CESSNA C34/37/38/145/165, Airmaster",Cessna T-50 (Bobcat),
DORNIER DoBÌ_133 Jungmeister,Dornier 228,don't know why this isn't fixed 5/24/2010
DORNIER Do28A/B (Agur),Dornier 228,don't know why this isn't fixed 5/24/2010
"DORNIER 728JET, Envoy 7",Dornier 228,
"DORNIER 328JET, Envoy 3",Dornier 328,don't know why this isn't fixed 5/24/2010
