regexp,notes
"/(airbus)(?:.*?)(a)-?(3\d\d)-?(b)?(\d{0,4})/i",airbus
/(antonov)(?:.*?)(\d\d)(/\d\d)?(\d)?/i,antonov
"/(beech)(?:.*?)(bonanza)(?:.*?)(\d{2,4})/i",must come before other beech tightenings - beech bonanza
/(beech)(?:.*?)(?:300 )(Super King Air)/i,beech super king air 300 and 350
/(beech)(?:.*?)(\d\d/\d\d)/i,beech queen air series
"/(beech)(?:.*?)(\d{2,4})/i",beech - put this after other beech tightenings
"/(dornier) ?(Do)?-?(\d{2,3}) ?(jet)?/i",dornier
"/(lockheed)(?:.*?)(L)(?:.*?)(\d{3,4})/i",lockheed
/(mcdonnell douglas) ?(dc9)(?:.*?)(8\d)(/md8\d)?/i,md-80 series
"/(mcdonnell douglas) ?(dc)-?(\d)-?(\d{0,2})/i",dc series
/(cessna)(?:.*?)(citationjet)(?:.*?)(cj\d)/i,cessna citationjets
/(cessna)(?:.*?)(citation II)/i,cessna citation II
/(?:cessna)(?:.*?)(\d\d\d)/i,3-digit model number cessnas - put this after other cessna tightenings
"/(de ?havilland)(?:.*?)(dh)c?-?(\d{0,2})-?(\d{0,4})(?:.*?)(dash|\z)/i",de havilland
"/(boeing)(?:.*?)(7\d)(7|0)-?\d{1,3}\/(\d\d\d)/i",must come before other boeing tightenings - boeing when double-listed (747-200/300)
"/(boeing)(?:.*?)(7\d)(7|0)-?(\d{1,3}|[A-Z]{0,3})/i",boeing
/(embraer)(?:.*?)(\d\d\d) ?(xr)?/i,embraer
/(piper) ?(pa)-?(\d\d)/i,piper
"/(dassault) ?(falcon \d{2,4})/i",dassault falcons
/(gulfstream )(?:iii/)?(v)/i,gulfstream V
/(gulfstream iv)/i,gulfstream IV
/(gulfstream iii)/i,gulfstream III
/(gulfstream ii)/i,gulfstream II
/(gulfstream i)/i,gulfstream I
/(bae)(?:.*?)(\d\d\d)(?:.*?)(\d\d\d)/i,british aerospace
/(boeing).*(\d\d\d).*(\d\d\d)/i,sloppy boeing
