needle,haystack,
DE HAVILLAND CANADA DHC8400 Dash 8,DEHAVILLAND DEHAVILLAND DHC8-400 DASH-8,
DE HAVILLAND CANADA DHC8200 Dash 8,BOMBARDIER DEHAVILLAND DHC8-200Q DASH-8,
"BOEING 747400 (International, winglets) (AL1)",BOEING BOEING 747-400,
BOEING 747100,BOEING BOEING 747-100,
BOEING 737100,BOEING BOEING 737-100/200,
"BOEING 737200, Surveiller (CT43, VC96)",BOEING BOEING 737-200C,shouldn't match the 737-100/200
BOEING 777200,BOEING BOEING 777,
BOEING 777300,BOEING BOEING 777,
"BOEING 747200 (E4, VC25)",BOEING BOEING 747-200/300,
BOEING 747300,BOEING BOEING 747-200/300,
BOEING 737500,BOEING BOEING 737-500,
BOEING 737600,BOEING BOEING 737-600,
"HAWKER BEECHCRAFT CORP 18 (piston) (C45, RC45, TC45, UC45, AT7, AT11 Kansan, SNB, JRB, Expeditor, Navigator)",BEECHCRAFT BEECH 18 C-185,
"BRITISH AEROSPACE BAe146100, Statesman",BRITISH AEROSPACE BRITISH AEROSPACE BAE-146-100/RJ70,
MCDONNELL DOUGLAS DC910,MCDONNELL DOUGLAS MCDONNELL DOUGLAS DC-9-10,
MCDONNELL DOUGLAS DC940,MCDONNELL DOUGLAS MCDONNELL DOUGLAS DC-9-40,
"DOUGLAS DC850, Jet Trader (EC24)",MCDONNELL DOUGLAS MCDONNELL DOUGLAS DC-8-50,
HAWKER BEECHCRAFT CORP 1900 (C12J),BEECHCRAFT BEECH 1900 A/B/C,
"DE HAVILLAND CANADA DHC6 Twin Otter (UV18, CC138)",DEHAVILLAND DEHAVILLAND TWIN OTTER DHC-6,
HAWKER BEECHCRAFT CORP F90 King Air,BEECHCRAFT BEECH KING AIR C-90,
"HAWKER BEECHCRAFT CORP 200, 1300 Super King Air, Commuter (C12A to F, C12L/R, UC12, RC12, Tp101, Huron)",BEECH BEECH 200 SUPER KINGAIR,
HAWKER BEECHCRAFT CORP 95 Travel Air,BEECHCRAFT BEECH B-95 (TRAVELAIR),
HAWKER BEECHCRAFT CORP 65 Queen Air (U8F Seminole),BEECHCRAFT BEECH 65/65A-80/65B-80 (QUEEN AIR),
HAWKER BEECHCRAFT CORP 56 Turbo Baron,BEECHCRAFT BEECH BARON (55 SERIES),
HAWKER BEECHCRAFT CORP 36 Bonanza (turbine),BEECHCRAFT BEECH BONANZA D-35A/C/D/E/G/H/J/K/S/V,
AIRBUS A330300,AIRBUS INDUSTRIE AIRBUS INDUSTRIE A330,
AIRBUS A330200,AIRBUS INDUSTRIE AIRBUS INDUSTRIE A330,
AIRBUS A340300,AIRBUS INDUSTRIE AIRBUS INDUSTRIE A340-300,
AIRBUS A340600,AIRBUS INDUSTRIE AIRBUS INDUSTRIE A340-600,
AIRBUS A340500,AIRBUS INDUSTRIE AIRBUS INDUSTRIE A340-500,
"VOLPAR Turbo 18, Turboliner",VOLPAR VOLPAR TURBO 18,
ANTONOV An12,ANTONOV ANTONOV 12,
ANTONOV An124 Ruslan,ANTONOV ANTONOV 124,
